 - - - Fold 1/6 - - -

Train volume count: 294
Validation volume count: 76
Validation volumes: ['24' '28' '15' '78' '82' '25' '40' '31' '29' '7' '41' '33' '76' '30' '87'
 '77' '79' '43' '47' '35' '16' '44' '26' '81' '46' '45' '50' '18' '32'
 '21' '85' '3' '19' '2' '20' '17' '49' '42' '84' '39' '86']

Epoch [0001/0300], Training Loss: 1.1942, Validation Loss: 0.5188, Dropout p: 0.30, Patience: 0/75            
Epoch [0068/0300], Training Loss: 0.1977, Validation Loss: 0.2040, Dropout p: 0.30, Patience: 0/75            
Epoch [0069/0300], Training Loss: 0.2409, Validation Loss: 0.2223, Dropout p: 0.30, Patience: 0/75            
Epoch [0070/0300], Training Loss: 0.1881, Validation Loss: 0.2255, Dropout p: 0.30, Patience: 0/75            
Epoch [0071/0300], Training Loss: 0.1704, Validation Loss: 0.2024, Dropout p: 0.30, Patience: 0/75            
Epoch [0072/0300], Training Loss: 0.1709, Validation Loss: 0.2061, Dropout p: 0.30, Patience: 0/75            
Epoch [0073/0300], Training Loss: 0.1897, Validation Loss: 0.2014, Dropout p: 0.30, Patience: 0/75            
Epoch [0074/0300], Training Loss: 0.1891, Validation Loss: 0.2132, Dropout p: 0.30, Patience: 0/75            
Epoch [0075/0300], Training Loss: 0.1946, Validation Loss: 0.1835, Dropout p: 0.30, Patience: 0/75            
Epoch [0076/0300], Training Loss: 0.2373, Validation Loss: 0.2146, Dropout p: 0.30, Patience: 0/75            
Epoch [0077/0300], Training Loss: 0.1362, Validation Loss: 0.1956, Dropout p: 0.30, Patience: 0/75            
Epoch [0078/0300], Training Loss: 0.1672, Validation Loss: 0.2273, Dropout p: 0.30, Patience: 0/75            
Epoch [0079/0300], Training Loss: 0.1510, Validation Loss: 0.2014, Dropout p: 0.30, Patience: 0/75            
Epoch [0080/0300], Training Loss: 0.2228, Validation Loss: 0.1804, Dropout p: 0.30, Patience: 0/75            
Epoch [0081/0300], Training Loss: 0.1371, Validation Loss: 0.1520, Dropout p: 0.30, Patience: 0/75            
Epoch [0082/0300], Training Loss: 0.1569, Validation Loss: 0.1838, Dropout p: 0.30, Patience: 0/75            
Epoch [0083/0300], Training Loss: 0.1703, Validation Loss: 0.1860, Dropout p: 0.30, Patience: 0/75            
Epoch [0084/0300], Training Loss: 0.2096, Validation Loss: 0.1901, Dropout p: 0.30, Patience: 0/75            
Epoch [0085/0300], Training Loss: 0.1521, Validation Loss: 0.1688, Dropout p: 0.30, Patience: 0/75            
Epoch [0086/0300], Training Loss: 0.2197, Validation Loss: 0.1323, Dropout p: 0.30, Patience: 0/75            
Epoch [0087/0300], Training Loss: 0.1700, Validation Loss: 0.1857, Dropout p: 0.30, Patience: 0/75            
Epoch [0088/0300], Training Loss: 0.1434, Validation Loss: 0.1557, Dropout p: 0.30, Patience: 0/75            
Epoch [0089/0300], Training Loss: 0.1425, Validation Loss: 0.2148, Dropout p: 0.30, Patience: 0/75            
Epoch [0090/0300], Training Loss: 0.1501, Validation Loss: 0.1955, Dropout p: 0.30, Patience: 0/75            
Epoch [0091/0300], Training Loss: 0.1438, Validation Loss: 0.1625, Dropout p: 0.30, Patience: 0/75            
Epoch [0092/0300], Training Loss: 0.1407, Validation Loss: 0.1689, Dropout p: 0.30, Patience: 0/75            
Epoch [0093/0300], Training Loss: 0.1173, Validation Loss: 0.1606, Dropout p: 0.30, Patience: 0/75            
Epoch [0094/0300], Training Loss: 0.1254, Validation Loss: 0.1629, Dropout p: 0.30, Patience: 0/75            
Epoch [0095/0300], Training Loss: 0.1512, Validation Loss: 0.1638, Dropout p: 0.30, Patience: 0/75            
Epoch [0096/0300], Training Loss: 0.1491, Validation Loss: 0.1643, Dropout p: 0.30, Patience: 0/75            
Epoch [0097/0300], Training Loss: 0.1638, Validation Loss: 0.1690, Dropout p: 0.30, Patience: 0/75            
Epoch [0098/0300], Training Loss: 0.1506, Validation Loss: 0.1891, Dropout p: 0.30, Patience: 0/75            
Epoch [0099/0300], Training Loss: 0.1628, Validation Loss: 0.1779, Dropout p: 0.30, Patience: 0/75            
Epoch [0100/0300], Training Loss: 0.1380, Validation Loss: 0.1688, Dropout p: 0.30, Patience: 0/75            
Epoch [0101/0300], Training Loss: 0.1537, Validation Loss: 0.1779, Dropout p: 0.30, Patience: 0/75            
Epoch [0102/0300], Training Loss: 0.1281, Validation Loss: 0.1757, Dropout p: 0.30, Patience: 0/75            
Epoch [0103/0300], Training Loss: 0.1478, Validation Loss: 0.1476, Dropout p: 0.30, Patience: 0/75            
Epoch [0104/0300], Training Loss: 0.1303, Validation Loss: 0.1559, Dropout p: 0.30, Patience: 1/75            
Epoch [0105/0300], Training Loss: 0.1049, Validation Loss: 0.1772, Dropout p: 0.30, Patience: 2/75            
Epoch [0106/0300], Training Loss: 0.1274, Validation Loss: 0.1647, Dropout p: 0.30, Patience: 3/75            
Epoch [0107/0300], Training Loss: 0.1379, Validation Loss: 0.1745, Dropout p: 0.30, Patience: 4/75            
Epoch [0108/0300], Training Loss: 0.1344, Validation Loss: 0.1624, Dropout p: 0.30, Patience: 5/75            
Epoch [0109/0300], Training Loss: 0.1267, Validation Loss: 0.1517, Dropout p: 0.30, Patience: 6/75            
Epoch [0110/0300], Training Loss: 0.1330, Validation Loss: 0.1725, Dropout p: 0.30, Patience: 7/75            
Epoch [0111/0300], Training Loss: 0.1242, Validation Loss: 0.1571, Dropout p: 0.30, Patience: 8/75            
Epoch [0112/0300], Training Loss: 0.1211, Validation Loss: 0.1675, Dropout p: 0.30, Patience: 9/75            
Epoch [0113/0300], Training Loss: 0.1116, Validation Loss: 0.1501, Dropout p: 0.30, Patience: 10/75            
Epoch [0114/0300], Training Loss: 0.1445, Validation Loss: 0.1506, Dropout p: 0.30, Patience: 11/75            
Epoch [0115/0300], Training Loss: 0.1485, Validation Loss: 0.1471, Dropout p: 0.30, Patience: 0/75            
Epoch [0116/0300], Training Loss: 0.1347, Validation Loss: 0.1562, Dropout p: 0.30, Patience: 1/75            
Epoch [0117/0300], Training Loss: 0.1188, Validation Loss: 0.1555, Dropout p: 0.30, Patience: 2/75            
Epoch [0118/0300], Training Loss: 0.1167, Validation Loss: 0.1801, Dropout p: 0.30, Patience: 3/75            
Epoch [0119/0300], Training Loss: 0.1021, Validation Loss: 0.1642, Dropout p: 0.30, Patience: 4/75            
Epoch [0120/0300], Training Loss: 0.1198, Validation Loss: 0.1462, Dropout p: 0.30, Patience: 0/75            
Epoch [0121/0300], Training Loss: 0.1249, Validation Loss: 0.1640, Dropout p: 0.30, Patience: 1/75            
Epoch [0122/0300], Training Loss: 0.1125, Validation Loss: 0.1595, Dropout p: 0.30, Patience: 2/75            
Epoch [0123/0300], Training Loss: 0.0956, Validation Loss: 0.1552, Dropout p: 0.30, Patience: 3/75            
Epoch [0124/0300], Training Loss: 0.1049, Validation Loss: 0.1430, Dropout p: 0.30, Patience: 0/75            
Epoch [0125/0300], Training Loss: 0.1112, Validation Loss: 0.1513, Dropout p: 0.30, Patience: 1/75            
Epoch [0126/0300], Training Loss: 0.1511, Validation Loss: 0.1569, Dropout p: 0.30, Patience: 2/75            
Epoch [0127/0300], Training Loss: 0.1242, Validation Loss: 0.1473, Dropout p: 0.30, Patience: 3/75            
Epoch [0128/0300], Training Loss: 0.1407, Validation Loss: 0.1547, Dropout p: 0.30, Patience: 4/75            
Epoch [0129/0300], Training Loss: 0.1251, Validation Loss: 0.1412, Dropout p: 0.30, Patience: 0/75            
Epoch [0130/0300], Training Loss: 0.1232, Validation Loss: 0.1396, Dropout p: 0.30, Patience: 0/75            
Epoch [0131/0300], Training Loss: 0.1533, Validation Loss: 0.1632, Dropout p: 0.30, Patience: 1/75            
Epoch [0132/0300], Training Loss: 0.1087, Validation Loss: 0.1522, Dropout p: 0.30, Patience: 2/75            
Epoch [0133/0300], Training Loss: 0.1243, Validation Loss: 0.1504, Dropout p: 0.30, Patience: 3/75            
Epoch [0134/0300], Training Loss: 0.1244, Validation Loss: 0.1475, Dropout p: 0.30, Patience: 4/75            
Epoch [0135/0300], Training Loss: 0.1249, Validation Loss: 0.1568, Dropout p: 0.30, Patience: 5/75            
Epoch [0136/0300], Training Loss: 0.1209, Validation Loss: 0.1569, Dropout p: 0.30, Patience: 6/75            
Epoch [0137/0300], Training Loss: 0.1561, Validation Loss: 0.1688, Dropout p: 0.30, Patience: 7/75            
Epoch [0138/0300], Training Loss: 0.1353, Validation Loss: 0.1814, Dropout p: 0.30, Patience: 8/75            
Epoch [0139/0300], Training Loss: 0.1246, Validation Loss: 0.1624, Dropout p: 0.30, Patience: 9/75            
Epoch [0140/0300], Training Loss: 0.1246, Validation Loss: 0.1595, Dropout p: 0.30, Patience: 10/75            
Epoch [0141/0300], Training Loss: 0.1301, Validation Loss: 0.1559, Dropout p: 0.30, Patience: 11/75            
Epoch [0142/0300], Training Loss: 0.1381, Validation Loss: 0.1615, Dropout p: 0.30, Patience: 12/75            
Epoch [0143/0300], Training Loss: 0.1131, Validation Loss: 0.1478, Dropout p: 0.30, Patience: 13/75            
Epoch [0144/0300], Training Loss: 0.1122, Validation Loss: 0.1584, Dropout p: 0.30, Patience: 14/75            
Epoch [0145/0300], Training Loss: 0.1497, Validation Loss: 0.1533, Dropout p: 0.30, Patience: 15/75            
Epoch [0146/0300], Training Loss: 0.1453, Validation Loss: 0.1505, Dropout p: 0.30, Patience: 16/75            
Epoch [0147/0300], Training Loss: 0.1021, Validation Loss: 0.1513, Dropout p: 0.30, Patience: 17/75            
Epoch [0148/0300], Training Loss: 0.1299, Validation Loss: 0.1614, Dropout p: 0.30, Patience: 18/75            
Epoch [0149/0300], Training Loss: 0.1382, Validation Loss: 0.1437, Dropout p: 0.30, Patience: 19/75            
Epoch [0150/0300], Training Loss: 0.1061, Validation Loss: 0.1497, Dropout p: 0.30, Patience: 20/75            
Epoch [0151/0300], Training Loss: 0.1124, Validation Loss: 0.1384, Dropout p: 0.30, Patience: 0/75            
Epoch [0152/0300], Training Loss: 0.1357, Validation Loss: 0.1658, Dropout p: 0.30, Patience: 1/75            
Epoch [0153/0300], Training Loss: 0.1385, Validation Loss: 0.1556, Dropout p: 0.30, Patience: 2/75            
Epoch [0154/0300], Training Loss: 0.1025, Validation Loss: 0.1588, Dropout p: 0.30, Patience: 3/75            
Epoch [0155/0300], Training Loss: 0.1556, Validation Loss: 0.1556, Dropout p: 0.30, Patience: 4/75            
Epoch [0156/0300], Training Loss: 0.1274, Validation Loss: 0.1573, Dropout p: 0.30, Patience: 5/75            
Epoch [0157/0300], Training Loss: 0.1172, Validation Loss: 0.1498, Dropout p: 0.30, Patience: 6/75            
Epoch [0158/0300], Training Loss: 0.1439, Validation Loss: 0.1501, Dropout p: 0.30, Patience: 7/75            
Epoch [0159/0300], Training Loss: 0.1483, Validation Loss: 0.1679, Dropout p: 0.30, Patience: 8/75            
Epoch [0160/0300], Training Loss: 0.1125, Validation Loss: 0.1496, Dropout p: 0.30, Patience: 9/75            
Epoch [0161/0300], Training Loss: 0.1175, Validation Loss: 0.1584, Dropout p: 0.30, Patience: 10/75            
Epoch [0162/0300], Training Loss: 0.1067, Validation Loss: 0.1570, Dropout p: 0.30, Patience: 11/75            
Epoch [0163/0300], Training Loss: 0.1313, Validation Loss: 0.1595, Dropout p: 0.30, Patience: 12/75            
Epoch [0164/0300], Training Loss: 0.1148, Validation Loss: 0.1442, Dropout p: 0.30, Patience: 13/75            
Epoch [0165/0300], Training Loss: 0.1254, Validation Loss: 0.1430, Dropout p: 0.30, Patience: 14/75            
Epoch [0166/0300], Training Loss: 0.1131, Validation Loss: 0.1538, Dropout p: 0.30, Patience: 15/75            
Epoch [0167/0300], Training Loss: 0.1084, Validation Loss: 0.1384, Dropout p: 0.30, Patience: 16/75            
Epoch [0168/0300], Training Loss: 0.1329, Validation Loss: 0.1529, Dropout p: 0.30, Patience: 17/75            
Epoch [0169/0300], Training Loss: 0.1236, Validation Loss: 0.1640, Dropout p: 0.30, Patience: 18/75            
Epoch [0170/0300], Training Loss: 0.1392, Validation Loss: 0.1461, Dropout p: 0.30, Patience: 19/75            
Epoch [0171/0300], Training Loss: 0.1376, Validation Loss: 0.1621, Dropout p: 0.30, Patience: 20/75            
Epoch [0172/0300], Training Loss: 0.0900, Validation Loss: 0.1566, Dropout p: 0.30, Patience: 21/75            
Epoch [0173/0300], Training Loss: 0.1267, Validation Loss: 0.1468, Dropout p: 0.30, Patience: 22/75            
Epoch [0174/0300], Training Loss: 0.1401, Validation Loss: 0.1608, Dropout p: 0.30, Patience: 23/75            
Epoch [0175/0300], Training Loss: 0.0902, Validation Loss: 0.1640, Dropout p: 0.30, Patience: 24/75            
Epoch [0176/0300], Training Loss: 0.1038, Validation Loss: 0.1357, Dropout p: 0.30, Patience: 0/75            
Epoch [0177/0300], Training Loss: 0.1400, Validation Loss: 0.1427, Dropout p: 0.30, Patience: 1/75            
Epoch [0178/0300], Training Loss: 0.1200, Validation Loss: 0.1486, Dropout p: 0.30, Patience: 2/75            
Epoch [0179/0300], Training Loss: 0.1233, Validation Loss: 0.1499, Dropout p: 0.30, Patience: 3/75            
Epoch [0180/0300], Training Loss: 0.1336, Validation Loss: 0.1624, Dropout p: 0.30, Patience: 4/75            
Epoch [0181/0300], Training Loss: 0.1068, Validation Loss: 0.1499, Dropout p: 0.30, Patience: 5/75            
Epoch [0182/0300], Training Loss: 0.1111, Validation Loss: 0.1579, Dropout p: 0.30, Patience: 6/75            
Epoch [0183/0300], Training Loss: 0.1015, Validation Loss: 0.1539, Dropout p: 0.30, Patience: 7/75            
Epoch [0184/0300], Training Loss: 0.1084, Validation Loss: 0.1614, Dropout p: 0.30, Patience: 8/75            
Epoch [0185/0300], Training Loss: 0.1267, Validation Loss: 0.1559, Dropout p: 0.30, Patience: 9/75            
Epoch [0186/0300], Training Loss: 0.1130, Validation Loss: 0.1465, Dropout p: 0.30, Patience: 10/75            
Epoch [0187/0300], Training Loss: 0.1306, Validation Loss: 0.1597, Dropout p: 0.30, Patience: 11/75            
Epoch [0188/0300], Training Loss: 0.1118, Validation Loss: 0.1471, Dropout p: 0.30, Patience: 12/75            
Epoch [0189/0300], Training Loss: 0.1341, Validation Loss: 0.1480, Dropout p: 0.30, Patience: 13/75            
Epoch [0190/0300], Training Loss: 0.1473, Validation Loss: 0.1525, Dropout p: 0.30, Patience: 14/75            
Epoch [0191/0300], Training Loss: 0.1415, Validation Loss: 0.1461, Dropout p: 0.30, Patience: 15/75            
Epoch [0192/0300], Training Loss: 0.1136, Validation Loss: 0.1477, Dropout p: 0.30, Patience: 16/75            
Epoch [0193/0300], Training Loss: 0.1430, Validation Loss: 0.1603, Dropout p: 0.30, Patience: 17/75            
Epoch [0194/0300], Training Loss: 0.1152, Validation Loss: 0.1594, Dropout p: 0.30, Patience: 18/75            
Epoch [0195/0300], Training Loss: 0.1117, Validation Loss: 0.1510, Dropout p: 0.30, Patience: 19/75            
Epoch [0196/0300], Training Loss: 0.1319, Validation Loss: 0.1424, Dropout p: 0.30, Patience: 20/75            
Epoch [0197/0300], Training Loss: 0.1135, Validation Loss: 0.1476, Dropout p: 0.30, Patience: 21/75            
Epoch [0198/0300], Training Loss: 0.0949, Validation Loss: 0.1574, Dropout p: 0.30, Patience: 22/75            
Epoch [0199/0300], Training Loss: 0.1174, Validation Loss: 0.1454, Dropout p: 0.30, Patience: 23/75            
Epoch [0200/0300], Training Loss: 0.1085, Validation Loss: 0.1512, Dropout p: 0.30, Patience: 24/75            
Epoch [0201/0300], Training Loss: 0.1368, Validation Loss: 0.1549, Dropout p: 0.30, Patience: 25/75            
Epoch [0202/0300], Training Loss: 0.1102, Validation Loss: 0.1647, Dropout p: 0.30, Patience: 26/75            
Epoch [0203/0300], Training Loss: 0.1168, Validation Loss: 0.1539, Dropout p: 0.30, Patience: 27/75            
Epoch [0204/0300], Training Loss: 0.1172, Validation Loss: 0.1517, Dropout p: 0.30, Patience: 28/75            
Epoch [0205/0300], Training Loss: 0.1400, Validation Loss: 0.1539, Dropout p: 0.30, Patience: 29/75            
Epoch [0206/0300], Training Loss: 0.1100, Validation Loss: 0.1668, Dropout p: 0.30, Patience: 30/75            
Epoch [0207/0300], Training Loss: 0.1275, Validation Loss: 0.1471, Dropout p: 0.30, Patience: 31/75            
Epoch [0208/0300], Training Loss: 0.1277, Validation Loss: 0.1542, Dropout p: 0.30, Patience: 32/75            
Epoch [0209/0300], Training Loss: 0.1612, Validation Loss: 0.1480, Dropout p: 0.30, Patience: 33/75            
Epoch [0210/0300], Training Loss: 0.1228, Validation Loss: 0.1433, Dropout p: 0.30, Patience: 34/75            
Epoch [0211/0300], Training Loss: 0.1233, Validation Loss: 0.1471, Dropout p: 0.30, Patience: 35/75            
Epoch [0212/0300], Training Loss: 0.1570, Validation Loss: 0.1514, Dropout p: 0.30, Patience: 36/75            
Epoch [0213/0300], Training Loss: 0.0884, Validation Loss: 0.1532, Dropout p: 0.30, Patience: 37/75            
Epoch [0214/0300], Training Loss: 0.1345, Validation Loss: 0.1428, Dropout p: 0.30, Patience: 38/75            
Epoch [0215/0300], Training Loss: 0.1156, Validation Loss: 0.1628, Dropout p: 0.30, Patience: 39/75            
Epoch [0216/0300], Training Loss: 0.1209, Validation Loss: 0.1642, Dropout p: 0.30, Patience: 40/75            
Epoch [0217/0300], Training Loss: 0.1373, Validation Loss: 0.1540, Dropout p: 0.30, Patience: 41/75            
Epoch [0218/0300], Training Loss: 0.1298, Validation Loss: 0.1500, Dropout p: 0.30, Patience: 42/75            
Epoch [0219/0300], Training Loss: 0.1066, Validation Loss: 0.1548, Dropout p: 0.30, Patience: 43/75            
Epoch [0220/0300], Training Loss: 0.1296, Validation Loss: 0.1505, Dropout p: 0.30, Patience: 44/75            
Epoch [0221/0300], Training Loss: 0.1044, Validation Loss: 0.1572, Dropout p: 0.30, Patience: 45/75            
Epoch [0222/0300], Training Loss: 0.1213, Validation Loss: 0.1684, Dropout p: 0.30, Patience: 46/75            
Epoch [0223/0300], Training Loss: 0.1128, Validation Loss: 0.1732, Dropout p: 0.30, Patience: 47/75            
Epoch [0224/0300], Training Loss: 0.1362, Validation Loss: 0.1643, Dropout p: 0.30, Patience: 48/75            
Epoch [0225/0300], Training Loss: 0.1110, Validation Loss: 0.1701, Dropout p: 0.30, Patience: 49/75            
Epoch [0226/0300], Training Loss: 0.1157, Validation Loss: 0.1600, Dropout p: 0.30, Patience: 50/75            
Epoch [0227/0300], Training Loss: 0.0989, Validation Loss: 0.1526, Dropout p: 0.30, Patience: 51/75            
Epoch [0228/0300], Training Loss: 0.1277, Validation Loss: 0.1458, Dropout p: 0.30, Patience: 52/75            
Epoch [0229/0300], Training Loss: 0.1142, Validation Loss: 0.1514, Dropout p: 0.30, Patience: 53/75            
Epoch [0230/0300], Training Loss: 0.1417, Validation Loss: 0.1627, Dropout p: 0.30, Patience: 54/75            
Epoch [0231/0300], Training Loss: 0.1530, Validation Loss: 0.1573, Dropout p: 0.30, Patience: 55/75            
Epoch [0232/0300], Training Loss: 0.1202, Validation Loss: 0.1551, Dropout p: 0.30, Patience: 56/75            
Epoch [0233/0300], Training Loss: 0.1138, Validation Loss: 0.1504, Dropout p: 0.30, Patience: 57/75            
Epoch [0234/0300], Training Loss: 0.1285, Validation Loss: 0.1483, Dropout p: 0.30, Patience: 58/75            
Epoch [0235/0300], Training Loss: 0.1055, Validation Loss: 0.1503, Dropout p: 0.30, Patience: 59/75            
Epoch [0236/0300], Training Loss: 0.0937, Validation Loss: 0.1562, Dropout p: 0.30, Patience: 60/75            
Epoch [0237/0300], Training Loss: 0.1174, Validation Loss: 0.1446, Dropout p: 0.30, Patience: 61/75            
Epoch [0238/0300], Training Loss: 0.1184, Validation Loss: 0.1416, Dropout p: 0.30, Patience: 62/75            
